tpr,fpr,precision,recall,f1,mcc,gt_correct,gt_incorrect,correct,incorrect,uncertain,tps,fps,tns,fns,tool,model,run
76.09,40.74,61.4,76.09,67.96,0.356,67.0,33.0,43.0,9.0,48.0,35,22,32,11,prophecy,GC1,47
71.05,35.48,55.1,71.05,62.07,0.345,67.0,33.0,51.0,11.0,38.0,27,22,40,11,prophecy,GC2,49
54.76,24.14,62.16,54.76,58.23,0.313,67.0,33.0,63.0,9.0,28.0,23,14,44,19,prophecy,GC3,42
40.0,18.46,53.85,40.0,45.9,0.234,67.0,33.0,74.0,26.0,0.0,14,12,53,21,prophecy,GC4,45
53.12,26.47,48.57,53.12,50.75,0.261,67.0,33.0,65.0,23.0,12.0,17,18,50,15,prophecy,GC5,43
32.26,17.39,45.45,32.26,37.74,0.166,67.0,33.0,78.0,22.0,0.0,10,12,57,21,prophecy,GC6,44
38.24,18.18,52.0,38.24,44.07,0.219,67.0,33.0,75.0,25.0,0.0,13,12,54,21,prophecy,GC7,48
25.0,9.38,60.0,25.0,35.29,0.21,67.0,33.0,85.0,15.0,0.0,9,6,58,27,prophecy,GC8,50
54.05,25.4,55.56,54.05,54.79,0.288,67.0,33.0,64.0,11.0,25.0,20,16,47,17,prophecy,GC9,46
27.27,4.84,50.0,27.27,35.29,0.292,124.0,22.0,134.0,12.0,0.0,6,6,118,16,prophecy,HP1,54
28.0,4.96,53.85,28.0,36.84,0.305,122.0,24.0,133.0,13.0,0.0,7,6,115,18,prophecy,HP2,53
65.52,52.99,23.46,65.52,34.55,0.101,74.0,72.0,65.0,81.0,0.0,19,62,55,10,prophecy,HP3,52
59.26,5.88,69.57,59.26,64.0,0.569,128.0,18.0,123.0,8.0,15.0,16,7,112,11,prophecy,HP4,51
44.0,3.85,84.62,44.0,57.89,0.502,61.0,16.0,64.0,13.0,0.0,11,2,50,14,prophecy,PD1,56
17.86,18.37,35.71,17.86,23.81,-0.006,45.0,32.0,63.0,14.0,0.0,5,9,40,23,prophecy,PD2,55
8.0,15.38,20.0,8.0,11.43,-0.103,46.0,31.0,67.0,10.0,0.0,2,8,44,23,prophecy,PD3,58
57.69,7.84,78.95,57.69,66.67,0.547,62.0,15.0,58.0,9.0,10.0,15,4,47,11,prophecy,PD4,57
100.0,85.38,54.79,100.0,70.79,0.283,,,,,,538,444,76,0,selfchecker,BM1,159
46.1,5.38,89.86,46.1,60.93,0.464,,,,,,248,28,492,290,selfchecker,BM10,161
100.0,100.0,50.85,100.0,67.42,0.0,,,,,,538,520,0,0,selfchecker,BM11,152
99.26,76.35,57.36,99.26,72.7,0.352,,,,,,534,397,123,4,selfchecker,BM12,155
99.63,87.88,53.98,99.63,70.02,0.244,,,,,,536,457,63,2,selfchecker,BM2,151
99.26,76.35,57.36,99.26,72.7,0.352,,,,,,534,397,123,4,selfchecker,BM3,153
99.44,81.54,55.79,99.44,71.48,0.307,,,,,,535,424,96,3,selfchecker,BM4,158
99.81,87.31,54.19,99.81,70.24,0.257,,,,,,537,454,66,1,selfchecker,BM5,154
99.44,86.54,54.31,99.44,70.26,0.255,,,,,,535,450,70,3,selfchecker,BM6,160
98.7,71.54,58.8,98.7,73.7,0.384,,,,,,531,372,148,7,selfchecker,BM7,150
99.44,80.77,56.02,99.44,71.67,0.315,,,,,,535,420,100,3,selfchecker,BM8,156
99.26,71.73,58.88,99.26,73.91,0.393,,,,,,534,373,147,4,selfchecker,BM9,157
63.63,2.57,85.73,63.63,73.05,0.688,,,,,,1244,207,7838,711,selfchecker,CIFAR10,179
0.0,14.93,0.0,0.0,0.0,-0.234,,,,,,0,10,57,33,selfchecker,GC1,167
57.58,25.37,52.78,57.58,55.07,0.315,,,,,,19,17,50,14,selfchecker,GC2,169
66.67,50.75,39.29,66.67,49.44,0.151,,,,,,22,34,33,11,selfchecker,GC3,162
51.52,46.27,35.42,51.52,41.98,0.049,,,,,,17,31,36,16,selfchecker,GC4,165
60.61,25.37,54.05,60.61,57.14,0.343,,,,,,20,17,50,13,selfchecker,GC5,163
36.36,17.91,50.0,36.36,42.11,0.203,,,,,,12,12,55,21,selfchecker,GC6,164
39.39,20.9,48.15,39.39,43.33,0.196,,,,,,13,14,53,20,selfchecker,GC7,168
39.39,16.42,54.17,39.39,45.61,0.253,,,,,,13,11,56,20,selfchecker,GC8,170
51.52,17.91,58.62,51.52,54.84,0.348,,,,,,17,12,55,16,selfchecker,GC9,166
100.0,89.19,52.17,100.0,68.57,0.237,,,,,,72,66,8,0,selfchecker,HP1,174
83.33,12.16,86.96,83.33,85.11,0.713,,,,,,60,9,65,12,selfchecker,HP2,173
80.56,10.81,87.88,80.56,84.06,0.701,,,,,,58,8,66,14,selfchecker,HP3,172
86.11,13.51,86.11,86.11,86.11,0.726,,,,,,62,10,64,10,selfchecker,HP4,171
81.25,17.78,76.47,81.25,78.79,0.63,,,,,,26,8,37,6,selfchecker,PD1,176
34.38,11.11,68.75,34.38,45.83,0.283,,,,,,11,5,40,21,selfchecker,PD2,175
90.62,62.22,50.88,90.62,65.17,0.319,,,,,,29,28,17,3,selfchecker,PD3,178
75.0,13.33,80.0,75.0,77.42,0.623,,,,,,24,6,39,8,selfchecker,PD4,177
